UPC,ASIN,Cost,Sales Rank,Title,Variation Parent,Price,Size,Color,Estimated Sales,Profit,ROI,Offers, Link,Average90,Average180,Package Quantity,Review Count,Review Stars,Category,Package Height,Package Length,Package Width,Package Weight,Amazon Last Seen,FBA Fee,Referral Fee,Closing Fee,Fixed Additional Cost,Shipping Cost,Percent Additional Cost,Margin,Brand,Variations,Average30, Tags
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cleaned Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delete,Keep,Custom,,,Delete,Keep,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASIN,,,,UPC,ASIN, Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cost,,,,Sales Rank,Cost, Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Rank,,,,,Title,Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,,,,,Variation Parent,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variation Parent,,,,,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,,,,,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,,,,,Estimated Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated Sales,,,,,Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profit,,,,Average90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ROI,,,,Average180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offers,,,,,Package Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Link,,,Review Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average90,,,,,Review Stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average180,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Quantity,,,,,Package Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review Count,,,,,Package Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review Stars,,,,,Package Width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,,,,,Package Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Height,,,,,Amazon Last Seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Length,,,,,FBA Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Width,,,,,Referral Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package Weight,,,,,Closing Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Last Seen,,,,,Fixed Additional Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBA Fee,,,,,Shipping Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Referral Fee,,,,,Percent Additional Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Closing Fee,,,,,Margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Additional Cost,,,,,Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipping Cost,,,,,Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percent Additional Cost,,,,,Average30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
