UPC,Price,Variant,Promo,Source Link
0810076940960,40.99,Beef,,https://healthyspot.com/products/primal-cupboard-cuts-beef-dog-food-topper
0850334004324,11.992,Chicken / 5.5 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-chicken-formula-dog-food
0895135000823,30.392000000000003,Chicken / 14 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-chicken-formula-dog-food
0895135000960,31.192000000000004,Chicken Salmon,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-chicken-salmon-formula-cat-food-1
0810076943008,29.99,Fish & Pork / 1.5 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-fish-pork-dog-food
0810076942957,139.99,Fish & Pork / 9 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-fish-pork-dog-food
0810076942971,69.99,Small Breed / 4 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-small-breed-dog-food
0810076943022,29.99,Small Breed / 1.5 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-small-breed-dog-food
0810076940977,40.99,Chicken,,https://healthyspot.com/products/primal-cupboard-cuts-chicken-dog-food-topper
0810076941127,9.99,Beef,,https://healthyspot.com/products/primal-give-pieces-a-chance-beef-dog-treats-4-oz
0850334004270,11.992,Pork / 5.5 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-nuggets-pork-dog
0810076942988,29.99,Beef / 1.5 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-beef-dog-food
0895135000021,40.792,Venison,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-rabbit-formula-dog-food-2
0810076941479,35.192,Beef / 16 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-beef-pronto-dog-food-16-oz
0895135000953,31.192000000000004,Beef Salmon,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-beef-salmon-formula-cat-food
0854496006257,41.592000000000006,Rabbit,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-rabbit-cat-food
0850334004331,11.992,Lamb / 5.5 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-lamb-formula-dog-food
0895135000595,30.392000000000003,Pork / 14 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-nuggets-pork-dog
0810076942933,139.99,Beef / 9 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-beef-dog-food
0810076941417,16.791999999999998,Beef / 7 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-beef-pronto-dog-food-16-oz
0895135000991,31.992000000000004,Lamb / 14 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-lamb-formula-dog-food
0850334004379,11.992,Turkey & Sardine / 5.5 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-turkey-sardine-formula-dog-food
0895135000984,30.392000000000003,Turkey & Sardine / 14 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-turkey-sardine-formula-dog-food
0810076941202,9.99,Chicken,,https://healthyspot.com/products/primal-peelin-fantastic-chicken-dog-treats-2-oz
0810076941493,36.792,Lamb / 16 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-lamb-pronto-dog-food-16-oz
0810076941431,17.592,Lamb / 7 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-lamb-pronto-dog-food-16-oz
0810076941110,9.99,Chicken,,https://healthyspot.com/products/primal-give-pieces-a-chance-chicken-dog-treats-4-oz
0810076941004,40.99,Fish,,https://healthyspot.com/products/primal-cupboard-cuts-fish-dog-food-topper
0895135000076,31.192000000000004,Turkey,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-turkey-formula-cat-food
0810076943015,29.99,Puppy / 1.5 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-puppy-recipe-dog-food
0810076942995,29.99,Chicken / 1.5 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-chicken-dog-food
0810076942940,139.99,Chicken / 9 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-chicken-dog-food
0810076942964,139.99,Puppy / 9 lb,,https://healthyspot.com/products/primal-kibble-in-the-raw-puppy-recipe-dog-food
0810076941523,35.192,Puppy / 16 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-puppy-pronto-dog-food-16-oz
0810076941462,16.791999999999998,Puppy / 7 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-puppy-pronto-dog-food-16-oz
0810076940991,40.99,Turkey,,https://healthyspot.com/products/primal-cupboard-cuts-turkey-dog-food-topper
0810076941509,35.192,Pork / 16 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-pronto-dog-pork
0810076941141,9.99,Beef,,https://healthyspot.com/products/primal-friendchips-matter-beef-dog-treats-4-oz
0810076941486,35.192,Chicken / 16 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-chicken-pronto-dog-food-16-oz
0810076941448,16.791999999999998,Pork / 7 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-pronto-dog-pork
0810076941424,16.791999999999998,Chicken / 7 oz,Eligible For 20% Off With Code PRIMERAW,https://healthyspot.com/products/primal-freeze-dried-chicken-pronto-dog-food-16-oz
